"Name","ID","Latitude","Longitude","Elevation"
"644_1",2300,55.6867997989495,-111.353319574335,572
"644_1",2301,55.5233946616059,-111.494849188538,663
"644_1",2302,55.6002955272886,-109.561434756522,661
"644_1",2303,55.2212220527101,-110.833316415272,679
"644_1",2304,55.0992880330366,-109.874712486213,634
"644_1",2305,54.9377534007982,-110.622155829172,703
"644_1",2306,54.813723639039,-110.825727041961,654
"644_1",2307,55.0849745987634,-108.73054150901,535
"644_1",2308,55.0292112146081,-108.819425194493,569
"644_1",2309,54.6863292347332,-109.968821208513,601
"644_2",2310,55.5377726954151,-109.660253149936,616
"644_2",2311,55.2023039075799,-111.611116497354,634
"644_2",2312,55.2095344609624,-111.548176383369,649
"644_2",2313,54.9598434014793,-111.210664898724,709
"644_2",2314,55.122924860327,-109.113449659371,597
"644_2",2315,55.0482012039212,-109.415336830743,619
"644_2",2316,54.786052845924,-110.789057663451,644
"644_2",2317,54.8424165085721,-110.115270318791,656
"644_2",2318,54.9520205439966,-108.854983330697,696
"644_2",2319,54.7938594871282,-109.171745237267,642
"644_3",2320,55.5838601607252,-111.280448360581,682
"644_3",2321,55.6516395969031,-109.582595743602,630
"644_3",2322,55.2636895809174,-111.751984940405,618
"644_3",2323,55.3392172798951,-111.093438972911,697
"644_3",2324,55.3589721192302,-108.73311969038,469
"644_3",2325,54.9464114607216,-111.126531536331,611
"644_3",2326,55.2385971724597,-108.851081801075,523
"644_3",2327,55.2212925444976,-108.709015727716,517
"644_3",2328,54.9643673545255,-110.219848073096,699
"644_3",2329,55.1636845211914,-108.719744002676,512
"644_4",2330,55.5582132338585,-110.509079556759,604
"644_4",2331,55.2449479970629,-111.888499566205,640
"644_4",2332,55.1991576408676,-111.908223109539,627
"644_4",2333,55.2624402646234,-110.777181477316,715
"644_4",2334,55.1510753606398,-110.266480214508,712
"644_4",2335,54.819380478967,-110.979530366564,679
"644_4",2336,54.8088089925171,-110.987102151783,674
"644_4",2337,54.8156560304309,-110.60184340262,683
"644_4",2338,54.8852137006268,-108.809011788635,707
"644_4",2339,54.7398197788811,-108.956073589247,701
"644_5",2340,55.6076041937538,-110.426484395754,590
"644_5",2341,55.3966325486205,-111.564888387661,658
"644_5",2342,55.3451217717793,-110.826375252311,669
"644_5",2343,55.1426873939072,-112.026420896357,656
"644_5",2344,55.1928156509108,-110.866130923534,682
"644_5",2345,55.0636083887785,-110.779989276564,682
"644_5",2346,54.9913785635349,-110.998779829978,623
"644_5",2347,55.2170604577104,-109.22042951711,610
"644_5",2348,54.7727037604916,-110.358989514398,660
"644_5",2349,54.760513153491,-108.720955822358,725
