"Name","ID","Latitude","Longitude","Elevation"
"478_1",1,49.1388963319761,-65.8441453187374,462
"478_1",2,49.1052770598216,-65.4946213885752,411
"478_1",3,48.5734179143254,-65.2482616556694,523
"478_1",4,49.2219615068611,-65.4746113273093,549
"478_1",5,48.3408757608466,-65.348972002672,427
"478_1",6,48.8490798532608,-67.0873712619917,305
"478_1",7,48.647551232101,-67.181377044596,591
"478_1",8,48.4690453019689,-64.9984403459339,404
"478_1",9,48.5783397825059,-66.7065498181839,548
"478_1",10,49.0165858346375,-65.7071228469905,490
"478_2",11,49.1660606258106,-65.8428294288404,628
"478_2",12,49.0501231745574,-66.2534332165698,477
"478_2",13,49.0572316267563,-66.2443788672899,508
"478_2",14,49.1150601031329,-66.1749132343778,756
"478_2",15,49.0954239292093,-65.903524198227,753
"478_2",16,48.7986343931627,-66.3964947242887,512
"478_2",17,49.0843990876477,-66.0948064798556,603
"478_2",18,48.7362081250675,-66.4118820630741,500
"478_2",19,49.2129110373004,-65.4930480455729,618
"478_2",20,49.0864154331603,-66.2418300638032,714
"478_3",21,48.3750161663592,-66.1422253172918,495
"478_3",22,48.3279767122528,-66.2663444788794,424
"478_3",23,48.937787184001,-65.1712317760694,424
"478_3",24,48.4422508616599,-65.3968392255906,387
"478_3",25,48.8438383930561,-67.0384468259418,388
"478_3",26,48.365074204254,-65.0704344434597,440
"478_3",27,48.563273873709,-64.9791536257553,399
"478_3",28,48.6659134226751,-66.8424605589386,324
"478_3",29,48.9588483429042,-64.5604456468493,298
"478_3",30,48.6308642702151,-64.7329272640778,327
"478_4",31,48.9354085476751,-66.6709846415168,338
"478_4",32,48.4979142219292,-65.1732354060786,414
"478_4",33,48.4059410648343,-65.7328963893471,406
"478_4",34,48.1643094987521,-66.7638278926707,373
"478_4",35,48.6874068260148,-66.7369560037344,430
"478_4",36,49.1587963724412,-66.1004526199264,276
"478_4",37,48.5451347341772,-64.3883269187196,136
"478_4",38,48.202167713743,-66.7814411108738,438
"478_4",39,48.5223292145094,-67.1053949944246,365
"478_4",40,49.2349909939752,-65.6144295130755,219
"478_5",41,48.258904283788,-67.0159036584213,342
"478_5",42,48.1834906416985,-65.0468286370433,83
"478_5",43,48.2316803765597,-65.5999460156597,214
"478_5",44,48.1491812135011,-66.6929881171448,315
"478_5",45,48.1931540658507,-66.6207487460137,305
"478_5",46,48.1609151211783,-65.1579191720998,228
"478_5",47,48.1311150149059,-67.1057102638635,266
"478_5",48,48.3491616313341,-65.9176564943206,249
"478_5",49,47.9641747467413,-67.1412328319095,277
"478_5",50,48.0908595088295,-67.2298595234651,277
"479_1",51,48.3312164238269,-68.0130528363909,314
"479_1",52,47.3376957174853,-69.4828290306769,527
"479_1",53,48.3191956859707,-68.3012594783593,362
"479_1",54,47.2582660352426,-69.4681841597508,629
"479_1",55,48.9118845416388,-66.9936492806895,444
"479_1",56,48.2608209663652,-68.1306133726044,370
"479_1",57,48.6367294988344,-67.7598784496774,286
"479_1",58,48.3957341224916,-67.8842269610246,300
"479_1",59,48.4498895804968,-67.7620120195974,612
"479_1",60,48.1531340065158,-68.90210750066,421
