"Name","ID","Latitude","Longitude","Elevation"
"478_1",1,49.1388963319761,-65.8441453187374,462
"478_1",2,49.1052770598216,-65.4946213885752,411
"478_1",3,48.5734179143254,-65.2482616556694,523
"478_1",4,49.2219615068611,-65.4746113273093,549
"478_1",5,48.3408757608466,-65.348972002672,427
"478_1",6,48.8490798532608,-67.0873712619917,305
"478_1",7,48.647551232101,-67.181377044596,591
"478_1",8,48.4690453019689,-64.9984403459339,404
"478_1",9,48.5783397825059,-66.7065498181839,548
"478_1",10,49.0165858346375,-65.7071228469905,490
"478_3",21,48.3750161663592,-66.1422253172918,495
"478_3",22,48.3279767122528,-66.2663444788794,424
"478_3",23,48.937787184001,-65.1712317760694,424
"478_3",24,48.4422508616599,-65.3968392255906,387
"478_3",25,48.8438383930561,-67.0384468259418,388
"478_3",26,48.365074204254,-65.0704344434597,440
"478_3",27,48.563273873709,-64.9791536257553,399
"478_3",28,48.6659134226751,-66.8424605589386,324
"478_3",29,48.9588483429042,-64.5604456468493,298
"478_3",30,48.6308642702151,-64.7329272640778,327
"478_4",31,48.9354085476751,-66.6709846415168,338
"478_4",32,48.4979142219292,-65.1732354060786,414
"478_4",33,48.4059410648343,-65.7328963893471,406
"478_4",34,48.1643094987521,-66.7638278926707,373
"478_4",35,48.6874068260148,-66.7369560037344,430
"478_4",36,49.1587963724412,-66.1004526199264,276
"478_4",37,48.5451347341772,-64.3883269187196,136
"478_4",38,48.202167713743,-66.7814411108738,438
"478_4",39,48.5223292145094,-67.1053949944246,365
"478_4",40,49.2349909939752,-65.6144295130755,219
"478_5",41,48.258904283788,-67.0159036584213,342
"478_5",42,48.1834906416985,-65.0468286370433,83
"478_5",43,48.2316803765597,-65.5999460156597,214
"478_5",44,48.1491812135011,-66.6929881171448,315
"478_5",45,48.1931540658507,-66.6207487460137,305
"478_5",46,48.1609151211783,-65.1579191720998,228
"478_5",47,48.1311150149059,-67.1057102638635,266
"478_5",48,48.3491616313341,-65.9176564943206,249
"478_5",49,47.9641747467413,-67.1412328319095,277
"478_5",50,48.0908595088295,-67.2298595234651,277
"479_1",51,48.3312164238269,-68.0130528363909,314
"479_1",52,47.3376957174853,-69.4828290306769,527
"479_1",53,48.3191956859707,-68.3012594783593,362
"479_1",54,47.2582660352426,-69.4681841597508,629
"479_1",55,48.9118845416388,-66.9936492806895,444
"479_1",56,48.2608209663652,-68.1306133726044,370
"479_1",57,48.6367294988344,-67.7598784496774,286
"479_1",58,48.3957341224916,-67.8842269610246,300
"479_1",59,48.4498895804968,-67.7620120195974,612
"479_1",60,48.1531340065158,-68.90210750066,421
"481_1",151,48.1207137733318,-68.1549372483526,488
"481_1",152,47.8286252924236,-68.3421884510293,525
"481_1",153,47.9104895650302,-67.6263355176091,429
"481_1",154,47.6783495819421,-68.0639609092132,469
"481_1",155,47.8987265347664,-68.1352443684213,399
"481_1",156,48.121206477791,-68.0261643604649,484
"481_1",157,48.1453048059427,-67.6125553197168,432
"481_1",158,47.7936468774297,-67.9831519191948,470
"481_1",159,48.1202559149161,-67.3717695989187,500
"481_1",160,47.7277986335338,-67.8962585630616,473
"481_2",161,48.4516690660588,-67.5010466873848,238
"481_2",162,47.8766660857432,-67.6603920721821,367
"481_2",163,48.3452778852144,-67.1890240286321,347
"481_2",164,48.3851539998157,-67.365347106103,310
"481_2",165,48.6136575647193,-67.2239537141691,257
"481_2",166,48.3397954486499,-67.4265654158442,275
"481_2",167,48.1464514210182,-67.3129965410054,338
"481_2",168,47.8809043292029,-67.650182734875,376
"481_2",169,47.760689491573,-68.3362131368998,300
"481_2",170,48.2063920146996,-68.2113003504587,318
"481_3",171,48.1987398673465,-67.4577025206175,281
"481_3",172,47.8286590299986,-67.52117051107,233
"481_3",173,48.2455961633162,-67.2106060895421,189
"481_3",174,48.2608975871961,-67.2517720436127,257
"481_3",175,48.1995532721916,-67.2612562328869,268
"481_3",176,47.7013090122555,-67.6664332066501,329
"481_3",177,47.7972374176812,-67.5390120308625,219
"481_3",178,47.7923957958113,-67.5313538526717,218
"481_3",179,48.221223333137,-67.2276368216314,290
"481_3",180,47.8016197769799,-67.521386732779,273
"481_4",181,47.9849798932621,-68.3077764874798,484
"481_4",182,48.2031126950344,-67.9229805836515,479
"481_4",183,48.2319558968412,-68.0102055198074,449
"481_4",184,48.4246472069552,-67.7682090548622,760
"481_4",185,48.2533854537122,-67.6674757478208,484
"481_4",186,47.8861122421672,-68.3296109279016,469
"481_4",187,47.7917836300145,-68.3011045089108,537
"481_4",188,48.262678571405,-67.8677695188298,473
"481_4",189,48.3161726403763,-67.5022051751228,473
"481_4",190,48.1969618914864,-68.2947312435859,526
"481_5",191,47.922826039319,-68.2395951101609,448
"481_5",192,47.8088824766558,-68.1951583129875,475
"481_5",193,47.9388479676667,-68.0974446167942,442
"481_5",194,47.818304781922,-68.1451843327239,423
"481_5",195,47.9517068688775,-68.2459176265251,434
"481_5",196,47.6162302021037,-68.0291871125916,438
"481_5",197,48.4364100579129,-67.604408755598,366
"481_5",198,48.2579766264655,-67.9741774095264,449
"481_5",199,48.1393965665638,-67.4175406736638,421
"481_5",200,47.8288478136097,-68.3347644560258,523
"484_1",301,48.2146713929218,-65.556416262276,169
"484_1",302,48.0929997745942,-65.2242813650153,94
"484_1",303,48.1565115389764,-65.4200588458313,156
"484_1",304,48.1073831035114,-65.3932336324821,50
"484_1",305,48.1484599949364,-65.3886294180574,145
"484_1",306,48.0480621837949,-65.2768689913421,51
"484_1",307,48.0692803320366,-65.3694226456144,41
