"Name","ID","Latitude","Longitude","Elevation"
"478_1",1,48.7866887712543,-64.4350948384452,32
"478_1",2,49.1011765730793,-65.382809493539,393
"478_1",3,48.7915082485591,-64.6113570294899,141
"478_1",4,49.0630378655873,-65.4732103404242,378
"478_1",5,49.1181627812713,-65.703005614646,636
"478_1",6,49.0514015322806,-66.3437212132553,424
"478_1",7,48.5199889865898,-65.1715472184595,453
"478_1",8,48.8130710759703,-66.3557224761576,342
"478_1",9,48.9117348245387,-66.9372116950559,421
"478_1",10,48.223548835682,-65.0388901896177,121
"478_2",11,48.6614196221608,-64.4610260495586,183
"478_2",12,48.5444119640578,-64.327874577615,199
"478_2",13,49.142354488806,-66.2918752395522,417
"478_2",14,48.4415158218521,-64.5494106712684,152
"478_2",15,48.4651994142733,-65.3153083949058,352
"478_2",16,48.8146560871051,-66.9765166171609,426
"478_2",17,48.5926578277714,-66.5086929594448,393
"478_2",18,48.3703972124195,-65.8757103844113,374
"478_2",19,48.3619124375965,-66.5032537295213,428
"478_2",20,48.4412100884682,-66.8308569489136,454
"478_3",21,49.1120656449868,-65.2862564349155,252
"478_3",22,49.1826753631416,-65.6158300309037,460
"478_3",23,48.7467673848849,-64.4588988437468,75
"478_3",24,49.0879913041067,-65.7028656269101,543
"478_3",25,49.1183540575871,-65.951240745485,822
"478_3",26,48.6009324257655,-64.8969453159946,213
"478_3",27,49.0940771063033,-66.4073671732499,373
"478_3",28,48.9394687063015,-66.6680431582827,341
"478_3",29,48.4881588168771,-65.7544623149333,387
"478_3",30,47.9067537680835,-67.3758768403927,254
"478_4",31,48.6799530133175,-64.4120345488045,377
"478_4",32,49.0799920343036,-65.6783343114187,492
"478_4",33,49.128731088814,-65.8747155526329,434
"478_4",34,48.4019483511574,-64.7205473506053,183
"478_4",35,48.4616485508354,-64.9321497352004,398
"478_4",36,48.6583229694641,-66.8103843820849,356
"478_4",37,48.3173343681711,-66.0646857384986,232
"478_4",38,48.5451636702724,-66.8613245930982,464
"478_4",39,48.3710469448801,-66.4929295854085,433
"478_4",40,48.3059522359401,-66.5771026349306,415
"478_5",41,49.0307114741824,-64.8615950840163,190
"478_5",42,49.1360793821774,-65.2370736917803,135
"478_5",43,49.0732786778137,-65.1089072007824,370
"478_5",44,49.1743811565035,-65.7523664063393,516
"478_5",45,48.4730704848822,-64.7071484849404,303
"478_5",46,48.3603151830093,-64.7830282808596,126
"478_5",47,48.463738245699,-65.8629416529489,450
"478_5",48,48.3309379317877,-65.6046681303136,334
"478_5",49,48.6273693506148,-66.8700208648225,366
"478_5",50,48.157114152421,-67.1096802661107,355
"479_1",51,48.670651569938,-67.4977552837577,308
"479_1",52,48.2004259769276,-68.6957036470184,211
"479_1",53,48.0522940745877,-68.6247933194813,272
"479_1",54,48.0366125623726,-68.8210429586619,351
"479_1",55,47.8947684094637,-68.4404464699298,339
"479_1",56,47.878811439998,-68.5019167818755,420
"479_1",57,47.7079241121888,-69.0658118157575,353
"479_1",58,47.7908471044916,-69.3776372500285,238
"479_1",59,47.6398161035776,-68.9579149561729,280
"479_1",60,47.5988549049099,-69.2181883141785,434
"479_2",61,48.7091618445567,-67.3811629076716,135
"479_2",62,48.4501130165131,-67.6654440905003,520
"479_2",63,48.5316251476034,-68.1398723856066,206
"479_2",64,48.0382886056211,-68.8017305518992,431
"479_2",65,47.83338187148,-68.9526826935727,360
"479_2",66,47.8497005582412,-69.2101642075008,350
"479_2",67,47.722855014507,-69.0418069788793,365
"479_2",68,47.7007669929486,-69.0162421488747,380
"479_2",69,47.4684285378263,-69.608607690357,332
"479_2",70,47.2291830211149,-69.4934245948205,556
"479_3",71,48.7723588911888,-67.2805967341178,263
"479_3",72,48.5718446625163,-67.4174407928441,397
"479_3",73,47.9827557840421,-68.604782408647,366
"479_3",74,47.8781025734619,-68.524211840346,452
"479_3",75,47.8753408917067,-68.5478503030782,366
"479_3",76,47.7551401369001,-68.7279903914559,253
"479_3",77,47.7018406754565,-68.704702842695,311
"479_3",78,47.7246199504254,-68.8563479285222,335
"479_3",79,47.5330972695566,-69.209563559043,432
"479_3",80,47.5349527117237,-69.5528231941459,305
"479_4",81,48.6854372699431,-67.7822083906737,169
"479_4",82,48.5502204810032,-67.8898946513246,268
"479_4",83,48.3628927464158,-68.5150599358103,174
"479_4",84,48.3553058649545,-68.5642347205041,130
"479_4",85,48.291666789991,-68.4814339907126,188
"479_4",86,48.1910621296194,-68.4894051406409,179
"479_4",87,48.1330286018549,-68.8750186807103,454
"479_4",88,47.9206223507712,-68.6345793703157,363
"479_4",89,47.7105285643213,-68.8582167193968,333
"479_4",90,47.6437204681191,-68.9878699481328,247
"479_5",91,48.9312587975088,-66.9760232906746,291
"479_5",92,48.7092754102449,-67.2688337705371,289
"479_5",93,48.2215986087303,-68.4104602920264,262
"479_5",94,48.0435076313633,-68.5867628097137,262
"479_5",95,47.946836771535,-68.6902179023641,231
"479_5",96,47.9925809486947,-69.0133539933909,216
"479_5",97,47.6243935979249,-69.2055765457401,349
"479_5",98,47.4367443824521,-69.3886690385866,509
"479_5",99,47.3306588155047,-69.4836516220552,611
"479_5",100,47.287721335187,-69.5282338225992,518
"480_1",101,48.8202261516925,-65.1736968127339,574
"480_1",102,48.8325907582766,-65.2786079717869,502
"480_1",103,48.8931046038705,-66.3954434022064,652
"480_1",104,48.8172881594507,-66.5414280393097,446
"480_1",105,48.5880414880964,-65.8987848438355,427
"480_1",106,48.6375617126736,-66.1976750522314,572
"480_1",107,48.7677142722404,-66.6602707451916,420
"480_1",108,48.630186077393,-66.2445090563814,635
"480_1",109,48.523583997483,-66.2698493312069,528
"480_1",110,48.5161018989588,-66.534074315591,430
"480_2",111,48.7699567744052,-64.9491912252633,303
"480_2",112,48.9715290230078,-65.5771193935795,633
"480_2",113,48.7501234737363,-65.2426064382124,411
"480_2",114,48.9529403610759,-66.0517568367965,586
"480_2",115,48.8550068236287,-66.3855019924652,475
"480_2",116,48.6187226596492,-65.7173678754471,477
"480_2",117,48.7770548469156,-66.2121199587359,433
"480_2",118,48.8055863261098,-66.6856468588687,616
"480_2",119,48.7871498470911,-66.7140200459024,622
"480_2",120,48.5718177521503,-66.3811381527792,305
"480_3",121,48.9467243897454,-64.9346191032892,516
"480_3",122,49.1058151904309,-65.8117090705571,605
"480_3",123,48.8407970793313,-65.6530162334983,667
"480_3",124,48.936245831432,-66.2880267117391,965
"480_3",125,48.6430356289802,-65.5478046287497,525
"480_3",126,48.8325183263999,-66.5265818481741,543
"480_3",127,48.6186271596774,-66.1776808543488,461
"480_3",128,48.7981396367668,-66.79646446611,646
"480_3",129,48.6361538811176,-66.3718646774696,268
"480_3",130,48.4424221750206,-66.3739485622681,511
"480_4",131,48.8922874500506,-64.9079309798942,464
"480_4",132,48.9138526608349,-64.9869153370434,540
"480_4",133,49.1340414378591,-65.7904533392505,499
"480_4",134,48.7423136051973,-65.0391596768512,326
"480_4",135,48.9268370150143,-65.8165187679994,427
"480_4",136,48.5991316151817,-65.8867794468911,470
"480_4",137,48.763684917787,-66.7422210675208,413
"480_4",138,48.6835340956326,-67.0098710676085,459
"480_4",139,48.502911809945,-66.5473463082517,481
"480_4",140,48.3967935204427,-66.4257400082375,490
"480_5",141,48.9093763340062,-64.7643602317656,377
"480_5",142,48.845595660551,-65.0014658839271,581
"480_5",143,48.9608374557943,-65.8671444391844,526
"480_5",144,48.9594280134733,-65.9633024540988,1013
"480_5",145,48.7068206694707,-65.2034298270326,345
"480_5",146,48.6845563263266,-65.8647973109382,490
"480_5",147,48.5691332893977,-65.8562631307948,506
"480_5",148,48.5769405049597,-66.4750383612997,496
"480_5",149,48.699011966217,-66.9163417231476,319
"480_5",150,48.5221706734824,-66.5296888703634,504
"481_1",151,48.3310910984987,-67.6473541138078,387
"481_1",152,48.2778101762697,-67.5139265759136,355
"481_1",153,48.2398632627461,-67.857490334468,563
"481_1",154,47.9544119271463,-67.7209842798741,375
"481_1",155,48.0519801035311,-68.0654369216355,338
"481_1",156,47.9920224947156,-68.167863424088,420
"481_1",157,47.851686147129,-67.9076334466416,397
"481_1",158,47.962955606797,-68.3406559926979,410
"481_1",159,47.7967700621229,-68.1631808984934,402
"481_1",160,47.6718869545856,-67.8101652394215,442
"481_2",161,48.2530208155509,-67.8116520183812,544
"481_2",162,48.1149574243456,-67.3865048974793,426
"481_2",163,48.0869571209583,-68.2141991239177,414
"481_2",164,47.8523315668951,-67.629408355566,512
"481_2",165,47.8370769299068,-67.6836868639551,524
"481_2",166,47.8516239096083,-67.7469203160033,510
"481_2",167,47.8978134533877,-67.9057522072665,362
"481_2",168,47.7734711871877,-67.7487816059919,355
"481_2",169,47.764279616547,-67.838885991437,520
"481_2",170,47.7633529416251,-67.8358656322687,520
"481_3",171,48.4429829239342,-67.2245785361823,311
"481_3",172,48.3643871482464,-67.683671101014,414
"481_3",173,48.1174548468272,-67.8597239679813,370
"481_3",174,48.1405108295568,-68.0168159993557,391
"481_3",175,47.998605255081,-67.8009174191883,392
"481_3",176,48.0783511790817,-68.2346014101335,400
"481_3",177,48.0857623404834,-68.3578029471977,327
"481_3",178,47.8406265509737,-67.6154410786789,433
"481_3",179,47.986881755099,-68.207856833385,417
